J,parity,state,v,observed_cm,input_weight,previous_cm,final_cm,delta_cm,rank_changed
1.0,+,6,3,25143.74997,4.41,25143.78194162155,25143.781939314063,-2.3074862838257104e-06,False
1.0,+,6,3,25159.49283,5.76,25159.51415250236,25159.51410498872,-4.751364031108096e-05,False
1.0,+,6,4,26774.53013,0.49,26774.535551581794,26774.5355451099,-6.471895176218823e-06,False
1.0,+,6,4,26790.04113,0.25,26790.07837743011,26790.078321392866,-5.603724275715649e-05,False
1.0,+,6,5,28355.03644,5.76,28355.082759849545,28355.082755476913,-4.3726322473958135e-06,False
1.0,+,6,5,28370.28187,3.24,28370.335083634367,28370.334988491406,-9.514296107226983e-05,False
1.0,+,6,6,29876.88517,0.09,29878.580120752868,29878.58011581009,-4.942776286043227e-06,False
1.0,+,6,6,29894.52877,0.04,29893.535621150095,29893.535529197514,-9.195258098770864e-05,False
1.0,+,6,7,31336.9736,1.44,31337.04974028248,31337.049737956102,-2.3263783077709377e-06,False
1.0,+,6,7,31351.53096,1.21,31351.627897913757,31351.627872944002,-2.4969755031634122e-05,False
1.0,+,6,8,32721.42173,0.36,32721.607368320176,32721.607365082837,-3.237339115003124e-06,False
1.0,+,6,8,32735.89864,0.16,32735.778386719358,32735.778417693164,3.097380613326095e-05,False
1.0,+,6,9,34024.92913,0.0004,34024.88503025737,34024.88502169083,-8.566537871956825e-06,False
1.0,+,6,9,34038.7831,0.0004,34038.629469737854,34038.6294761475,6.409645720850676e-06,False
1.0,+,6,10,35245.42111,0.0256,35245.34526663988,35245.34526134708,-5.292800778988749e-06,False
1.0,+,6,10,35258.65767,0.0202,35258.546248198145,35258.54619624645,-5.195169796934351e-05,False
1.0,+,6,11,36388.0853,0.0011,36388.61368320172,36388.61367756099,-5.640729796141386e-06,False
1.0,+,6,12,37463.72651,0.006,37463.693271164506,37463.693263509274,-7.655231456737965e-06,False
1.0,+,6,12,37476.11283,0.0022,37475.92180352366,37475.92174568433,-5.78393301111646e-05,False
1.0,-,2,0,619.64211,225.0,619.649975989008,619.649977918446,1.92943798538181e-06,False
1.0,-,2,0,635.32745,289.0,635.324337305638,635.324339297925,1.9922870251321e-06,False
1.0,-,2,1,2237.60649,2.89,2237.604843665045,2237.604843375112,-2.8993281375733204e-07,False
1.0,-,2,1,2253.25934,5.29,2253.247434111706,2253.247433990718,-1.209878064400982e-07,False
1.0,-,2,2,3832.26124,2.25,3832.302966866554,3832.302967111063,2.445090103719849e-07,False
1.0,-,2,2,3847.87568,2.25,3847.917940512338,3847.917941144283,6.319446583802346e-07,False
