state,r_angstrom,supplied_cm,refined_cm
1,1.496538782318599,11331.483771220537,11331.305432464926
1,1.4986655546288574,11469.314039709572,11469.136184391036
1,1.500792326939116,11607.057706287627,11606.880435539206
1,1.5029190992493744,11744.69565716036,11744.519071926614
1,1.5050458715596329,11882.208630444433,11882.032831345117
1,1.5071726438698916,12019.577210319017,12019.402297508233
1,1.50929941618015,12156.781821779081,12156.607894799814
1,1.5114261884904088,12293.802726103242,12293.6298837372
1,1.5135529608006673,12430.620017159934,12430.448357272759
1,1.5156797331109257,12567.213618688611,12567.043238070328
1,1.5178065054211842,12703.563282704246,12703.39427690514
1,1.5199332777314427,12839.648589186934,12839.48105234884
1,1.5220600500417014,12975.448947230738,12975.282971914068
1,1.52418682235196,13110.94359783906,13110.779274845598
1,1.5263135946622186,13246.111618565807,13245.949036757724
1,1.528440366972477,13380.93193021321,13380.771176328677
1,1.5305671392827356,13515.38330580779,13515.22446427362
1,1.532693911592994,13649.44438208433,13649.287534826311
1,1.5348206839032525,13783.093673714455,13782.938899966139
1,1.5369474562135113,13916.309590520379,13916.156966631093
1,1.5390742285237697,14049.07045791431,14048.920057157444
1,1.5412010008340284,14181.35454080057,14181.20643318333
1,1.543327773144287,14313.140071168262,14312.994323244127
1,1.5454545454545454,14444.405279588147,14444.261954273574
1,1.547581317764804,14575.128430805802,14574.987587202762
1,1.5497080900750624,14705.287863594815,14705.149556821016
1,1.551834862385321,14834.862034997033,14834.726316025723
1,1.5539616346955796,14963.82956903133,14963.696484542852
1,1.5560884070058383,15092.169309898038,15092.038902145321
1,1.5582151793160968,15219.860379641515,15219.732686331912
1,1.5603419516263553,15346.882240160618,15346.757294356317
1,1.5624687239366137,15473.214759373224,15473.092589412918
1,1.5645954962468722,15598.838281251028,15598.718910695081
1,1.566722268557131,15723.733699341987,15723.617146943583
1,1.5688490408673894,15847.882533295015,15847.768812999437
1,1.5709758131776481,15971.267007794504,15971.15612876871
1,1.5731025854879066,16093.8701332055,16093.762099899644
1,1.575229357798165,16215.675787126014,16215.57059936852
1,1.5773561301084236,16336.668795945126,16336.566449072312
1,1.579482902418682,16456.835015417975,16456.735500438812
1,1.5816096747289408,16576.16140919548,16576.064712991665
1,1.5837364470391992,16694.636124192013,16694.5422297527
1,1.585863219349458,16812.248561641587,16812.157448331767
1,1.5879899916597164,16928.98944268597,16928.90108654677
1,1.590116763969975,17044.85086735999,17044.765241438377
1,1.5922435362802334,17159.826365889916,17159.7434405949
1,1.594370308590492,17273.910941303322,17273.830684785007
1,1.5964970809007506,17387.101102460678,17387.023481008044
1,1.5986238532110093,17499.39488675938,17499.31986521215
1,1.6007506255212678,17610.791871926107,17610.71941409593
1,1.6028773978315263,17721.29317649974,17721.223245595313
1,1.6050041701417848,17830.901448807494,17830.83400785854
1,1.6071309424520432,17939.62084444758,17939.555856722287
1,1.6092577147623017,18047.456992502994,18047.394421913843
1,1.6113844870725604,18154.416950918134,18154.35676241128
1,1.6135112593828191,18260.509151664948,18260.451311588626
1,1.6156380316930776,18365.743336502324,18365.6878129504
1,1.617764804003336,18470.13048428591,18470.077247413003
1,1.6198915763135946,18573.682730911092,18573.631753216607
1,1.622018348623853,18676.41328306702,18676.364539645932
1,1.6241451209341116,18778.33632704192,18778.289795800778
1,1.6262718932443703,18879.466933849468,18879.422595686952
1,1.628398665554629,18979.82096194441,18979.778800896238
1,1.6305254378648875,19079.41495876403,19079.374962112735
1,1.632652210175146,19178.26606227453,19178.228220625093
1,1.6347789824854044,19276.39190362113,19276.35621094401
1,1.636905754795663,19373.810511882835,19373.77696552626
1,1.6390325271059214,19470.540221821066,19470.508822494878
1,1.64115929941618,19566.59958539082,19566.57033712421
1,1.6432860717264388,19662.007287657772,19661.980197733723
1,1.6454128440366973,19756.782067639368,19756.75714650836
1,1.6475396163469558,19850.942644464583,19850.919905640374
1,1.6496663886572143,19944.50764913013,19944.487109070422
1,1.6517931609674728,20037.495562021963,20037.47723999643
1,1.6539199332777315,20129.92465627156,20129.908574219844
1,1.65604670558799,20221.81294692809,20221.79912931016
1,1.6581734778982486,20313.178145851296,20313.16661949224
1,1.6603002502085071,20404.03762216424,20404.02841609563
1,1.6624270225187656,20494.40836805252,20494.401513352008
1,1.664553794829024,20584.30696965336,20584.302499284207
1,1.6666805671392826,20673.749582746415,20673.747531398232
1,1.6688073394495413,20762.75191293505,20762.752316867034
