J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
1.0,+,117,29894.52877,6,6,1.0,-1.0,0.0,0.04,29893.4506,1.0781700000006822,117,6,6,1.0,-1.0,0.0,True,,2.2e-07
1.0,+,123,31336.9736,6,7,1.0,0.0,1.0,1.44,31337.0522,-0.07859999999709544,123,6,7,1.0,0.0,1.0,True,,7.7e-06
1.0,+,124,31351.53096,6,7,1.0,-1.0,0.0,1.21,31351.5215,0.0094600000011269,124,6,7,1.0,-1.0,0.0,True,,6.5e-06
1.0,+,131,32721.42173,6,8,1.0,0.0,1.0,0.36,32721.6218,-0.20007000000259723,131,6,8,1.0,0.0,1.0,True,,1.9e-06
1.0,+,132,32735.89864,6,8,1.0,-1.0,0.0,0.16,32735.6803,0.21833999999944353,132,6,8,1.0,-1.0,0.0,True,,8.6e-07
1.0,+,139,34024.92913,6,9,1.0,0.0,1.0,0.0004,34024.9077,0.02142999999341555,139,6,9,1.0,0.0,1.0,True,,2.2e-09
1.0,+,140,34038.7831,6,9,1.0,-1.0,0.0,0.0004,34038.583,0.20010000000183936,140,6,9,1.0,-1.0,0.0,True,,2.2e-09
1.0,+,151,35245.42111,6,10,1.0,0.0,1.0,0.0256,35245.5121,-0.09098999999696389,149,6,10,1.0,0.0,1.0,True,,1.4e-07
1.0,+,152,35258.65767,6,10,1.0,-1.0,0.0,0.0202,35258.5415,0.11617000000114786,150,6,10,1.0,-1.0,0.0,True,,1.1e-07
1.0,+,159,36388.0853,6,11,1.0,0.0,1.0,0.0011,36388.7213,-0.635999999998603,157,6,11,1.0,0.0,1.0,True,,5.9e-09
1.0,+,167,37463.72651,6,12,1.0,0.0,1.0,0.006,37463.5859,0.14061000000219792,165,6,12,1.0,0.0,1.0,True,,3.2e-08
1.0,+,168,37476.11283,6,12,1.0,-1.0,0.0,0.0022,37475.6319,0.48092999999789754,166,6,12,1.0,-1.0,0.0,True,,1.2e-08
1.0,-,2,619.64211,2,0,-1.0,0.0,-1.0,225.0,619.6532,-0.011089999999967404,2,2,0,-1.0,0.0,-1.0,True,,0.0012
1.0,-,3,635.32745,2,0,-1.0,1.0,0.0,289.0,635.3236,0.0038499999999430656,3,2,0,-1.0,1.0,0.0,True,,0.0016
1.0,-,5,2237.60649,2,1,-1.0,0.0,-1.0,2.89,2237.609,-0.0025099999998019484,5,2,1,-1.0,0.0,-1.0,True,,1.6e-05
1.0,-,6,2253.25934,2,1,-1.0,1.0,0.0,5.29,2253.2469,0.012439999999969586,6,2,1,-1.0,1.0,0.0,True,,2.8e-05
1.0,-,8,3832.26124,2,2,-1.0,0.0,-1.0,2.25,3832.3064,-0.045160000000123546,8,2,2,-1.0,0.0,-1.0,True,,1.2e-05
1.0,-,9,3847.87568,2,2,-1.0,1.0,0.0,2.25,3847.9156,-0.03991999999971085,9,2,2,-1.0,1.0,0.0,True,,1.2e-05
1.0,-,11,5403.59787,2,3,-1.0,0.0,-1.0,1.0,5403.5722,0.025669999999990978,11,2,3,-1.0,0.0,-1.0,True,,5.4e-06
1.0,-,12,5419.15671,2,3,-1.0,1.0,0.0,0.81,5419.1571,-0.00039000000015221303,12,2,3,-1.0,1.0,0.0,True,,4.4e-06
1.0,-,15,6951.56999,2,4,-1.0,0.0,-1.0,0.09,6951.5123,0.05768999999963853,15,2,4,-1.0,0.0,-1.0,True,,4.8e-07
1.0,-,16,6967.10868,2,4,-1.0,1.0,0.0,0.25,6967.0774,0.03128000000015163,16,2,4,-1.0,1.0,0.0,True,,1.3e-06
1.0,-,20,8271.60685,3,0,-1.0,0.0,-1.0,196.0,8271.6018,0.005049999999755528,20,3,0,-1.0,0.0,-1.0,True,,0.0011
1.0,-,21,8476.1853,2,5,-1.0,0.0,-1.0,0.49,8476.1514,0.03389999999853899,21,2,5,-1.0,0.0,-1.0,True,,2.6e-06
1.0,-,22,8491.76192,2,5,-1.0,1.0,0.0,1.21,8491.7031,0.05882000000019616,22,2,5,-1.0,1.0,0.0,True,,6.5e-06
1.0,-,26,9280.21579,5,0,0.0,-1.0,-1.0,400.0,9280.2111,0.004689999999754946,26,5,0,0.0,-1.0,-1.0,True,,0.0022
1.0,-,27,9855.61511,3,1,-1.0,0.0,-1.0,1.96,9855.622,-0.006889999998747953,27,3,1,-1.0,0.0,-1.0,True,,1.1e-05
1.0,-,28,9977.59117,2,6,-1.0,0.0,-1.0,0.04,9977.4672,0.12397000000055414,28,2,6,-1.0,0.0,-1.0,True,,2.2e-07
1.0,-,29,9992.94943,2,6,-1.0,1.0,0.0,0.09,9992.9983,-0.048869999998714775,29,2,6,-1.0,1.0,0.0,True,,4.8e-07
1.0,-,33,11312.05232,5,1,0.0,-1.0,-1.0,5.29,11312.0342,0.018120000000635628,33,5,1,0.0,-1.0,-1.0,True,,2.8e-05
1.0,-,34,11415.41218,3,2,-1.0,0.0,-1.0,2.25,11415.4558,-0.04362000000037369,34,3,2,-1.0,0.0,-1.0,True,,1.2e-05
1.0,-,35,11455.03176,2,7,-1.0,0.0,-1.0,0.25,11455.4658,-0.43404000000009546,35,2,7,-1.0,0.0,-1.0,True,,1.3e-06
1.0,-,36,11470.86937,2,7,-1.0,1.0,0.0,0.25,11470.9258,-0.05643000000054599,36,2,7,-1.0,1.0,0.0,True,,1.3e-06
1.0,-,40,12910.03547,2,8,-1.0,0.0,-1.0,0.25,12909.9276,0.10786999999982072,40,2,8,-1.0,0.0,-1.0,True,,1.3e-06
1.0,-,41,12925.80892,2,8,-1.0,1.0,0.0,0.09,12925.4583,0.3506199999992532,41,2,8,-1.0,1.0,0.0,True,,4.8e-07
1.0,-,42,12950.93001,3,3,-1.0,0.0,-1.0,1.96,12950.9395,-0.009490000000369037,42,3,3,-1.0,0.0,-1.0,True,,1.1e-05
1.0,-,45,13314.97748,5,2,0.0,-1.0,-1.0,1.21,13315.2538,-0.276320000000851,45,5,2,0.0,-1.0,-1.0,True,,6.5e-06
1.0,-,47,14341.26586,2,9,-1.0,0.0,-1.0,0.03,14341.1278,0.13805999999931373,47,2,9,-1.0,0.0,-1.0,True,,1.6e-07
1.0,-,48,14356.50888,2,9,-1.0,1.0,0.0,0.0059,14356.6217,-0.11282000000028347,48,2,9,-1.0,1.0,0.0,True,,3.2e-08
1.0,-,49,14462.10991,3,4,-1.0,0.0,-1.0,0.81,14462.0815,0.02840999999898486,49,3,4,-1.0,0.0,-1.0,True,,4.4e-06
1.0,-,53,15287.93752,5,3,0.0,-1.0,-1.0,2.56,15287.9914,-0.05388000000129978,53,5,3,0.0,-1.0,-1.0,True,,1.4e-05
1.0,-,55,15749.18827,2,10,-1.0,0.0,-1.0,0.0013,15749.063,0.12527000000045518,55,2,10,-1.0,0.0,-1.0,True,,7e-09
1.0,-,56,15764.5021,2,10,-1.0,1.0,0.0,0.0013,15764.5185,-0.016400000000430737,56,2,10,-1.0,1.0,0.0,True,,7e-09
1.0,-,59,15948.88012,3,5,-1.0,0.0,-1.0,0.16,15948.8238,0.05631999999968684,59,3,5,-1.0,0.0,-1.0,True,,8.6e-07
1.0,-,62,17133.74118,2,11,-1.0,0.0,-1.0,0.0044,17133.7217,0.019480000002658926,62,2,11,-1.0,0.0,-1.0,True,,2.4e-08
1.0,-,63,17149.03905,2,11,-1.0,1.0,0.0,0.0011,17149.3355,-0.29645000000164146,63,2,11,-1.0,1.0,0.0,True,,5.9e-09
1.0,-,67,17411.1295,3,6,-1.0,0.0,-1.0,0.04,17411.0619,0.06759999999849242,67,3,6,-1.0,0.0,-1.0,True,,2.2e-07
1.0,-,74,18848.79097,3,7,-1.0,0.0,-1.0,0.01,18848.6822,0.10876999999891268,74,3,7,-1.0,0.0,-1.0,True,,5.4e-08
1.0,-,75,19139.23084,5,5,0.0,-1.0,-1.0,1.0,19139.3186,-0.08775999999852502,75,5,5,0.0,-1.0,-1.0,True,,5.4e-06
1.0,-,80,19832.98979,2,13,-1.0,0.0,-1.0,0.0009,19835.4972,-2.5074100000019826,80,2,13,-1.0,0.0,-1.0,True,,4.8e-09
1.0,-,89,21014.50778,5,6,0.0,-1.0,-1.0,0.36,21014.6034,-0.09562000000005355,89,5,6,0.0,-1.0,-1.0,True,,1.9e-06
1.0,-,92,21649.98402,3,9,-1.0,0.0,-1.0,0.0015,21649.7646,0.21942000000126427,92,3,9,-1.0,0.0,-1.0,True,,8.1e-09
1.0,-,101,22853.73672,5,7,0.0,-1.0,-1.0,0.36,22853.8147,-0.07797999999820604,101,5,7,0.0,-1.0,-1.0,True,,1.9e-06
1.0,-,102,23013.2947,3,10,-1.0,0.0,-1.0,0.0013,23013.0164,0.2782999999981257,102,3,10,-1.0,0.0,-1.0,True,,7e-09
1.0,-,111,24351.5847,3,11,-1.0,0.0,-1.0,0.0011,24351.2751,0.3096000000005006,111,3,11,-1.0,0.0,-1.0,True,,5.9e-09
1.0,-,122,25664.72351,3,12,-1.0,0.0,-1.0,0.0038,25664.4295,0.2940100000014354,122,3,12,-1.0,0.0,-1.0,True,,2e-08
1.0,-,134,26952.55153,3,13,-1.0,0.0,-1.0,0.0034,26952.3482,0.20333000000027823,134,3,13,-1.0,0.0,-1.0,True,,1.8e-08
1.0,-,142,28214.90407,3,14,-1.0,0.0,-1.0,0.0008,28214.8733,0.030770000001211884,142,3,14,-1.0,0.0,-1.0,True,,4.3e-09
1.0,-,151,29451.57549,3,15,-1.0,0.0,-1.0,0.0028,29451.8068,-0.23130999999921187,151,3,15,-1.0,0.0,-1.0,True,,1.5e-08
1.0,-,162,30662.3611,3,16,-1.0,0.0,-1.0,0.0006,30662.9145,-0.5534000000006927,161,3,16,-1.0,0.0,-1.0,True,,3.2e-09
2.0,+,1,10.87522,1,0,0.0,0.0,0.0,676.0,10.8664,0.00882000000000005,1,1,0,0.0,0.0,0.0,True,,0.0036
2.0,+,5,1838.23872,1,1,0.0,0.0,0.0,110.24,1838.2377,0.0010200000001532317,5,1,1,0.0,0.0,0.0,True,,0.00059
2.0,+,9,3637.32674,1,2,0.0,0.0,0.0,7.29,3637.307,0.0197400000001835,9,1,2,0.0,0.0,0.0,True,,3.9e-05
2.0,+,14,5407.21821,1,3,0.0,0.0,0.0,1.96,5407.1365,0.08171000000038475,14,1,3,0.0,0.0,0.0,True,,1.1e-05
2.0,+,17,6250.33028,4,0,0.0,1.0,1.0,529.0,6250.3036,0.026679999999942083,17,4,0,0.0,1.0,1.0,True,,0.0028
2.0,+,18,6265.18371,4,0,0.0,0.0,0.0,529.0,6265.2024,-0.018689999999878637,18,4,0,0.0,0.0,0.0,True,,0.0028
2.0,+,22,7146.76412,1,4,0.0,0.0,0.0,2.25,7146.6095,0.15462000000025,22,1,4,0.0,0.0,0.0,True,,1.2e-05
2.0,+,23,7698.42414,4,1,0.0,1.0,1.0,4.84,7698.4072,0.01694000000043161,23,4,1,0.0,1.0,1.0,True,,2.6e-05
2.0,+,24,7713.11601,4,1,0.0,0.0,0.0,3.61,7713.1415,-0.025489999999990687,24,4,1,0.0,0.0,0.0,True,,1.9e-05
2.0,+,29,8854.41408,1,5,0.0,0.0,0.0,3.24,8854.2287,0.185380000000805,29,1,5,0.0,0.0,0.0,True,,1.7e-05
2.0,+,30,9124.3528,4,2,0.0,1.0,1.0,5.29,9124.3876,-0.03479999999944994,30,4,2,0.0,1.0,1.0,True,,2.8e-05
2.0,+,31,9138.87881,4,2,0.0,0.0,0.0,4.0,9138.9573,-0.07848999999987427,31,4,2,0.0,0.0,0.0,True,,2.2e-05
2.0,+,37,10527.54868,1,6,0.0,0.0,0.0,4.0,10527.4439,0.10477999999966414,37,1,6,0.0,0.0,0.0,True,,2.2e-05
2.0,+,38,10528.69598,4,3,0.0,1.0,1.0,2.89,10528.7275,-0.031520000000455184,38,4,3,0.0,1.0,1.0,True,,1.6e-05
2.0,+,39,10542.57465,4,3,0.0,0.0,0.0,1.69,10542.6637,-0.08904999999867869,39,4,3,0.0,0.0,0.0,True,,9.1e-06
2.0,+,45,11867.82519,7,0,2.0,0.0,2.0,36.0,11867.7904,0.03478999999970256,45,7,0,2.0,0.0,2.0,True,,0.00019
2.0,+,46,11910.0031,4,4,0.0,1.0,1.0,0.49,11910.0065,-0.0033999999996012775,46,4,4,0.0,1.0,1.0,True,,2.6e-06
2.0,+,47,11924.19807,4,4,0.0,0.0,0.0,0.25,11924.2451,-0.04702999999972235,47,4,4,0.0,0.0,0.0,True,,1.3e-06
2.0,+,48,12164.9951,1,7,0.0,0.0,0.0,0.81,12165.033,-0.037899999999353895,48,1,7,0.0,0.0,0.0,True,,4.4e-06
2.0,+,53,13252.26534,7,1,2.0,0.0,2.0,0.16,13252.2492,0.01613999999972293,53,7,1,2.0,0.0,2.0,True,,8.6e-07
