source_index,J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,ef
146,23.0,-,5,3406.5335271,1,4,0.0,0.0,0.0,1.0,3406.533034790141,0.0004923098590552399,e
147,23.0,-,6,4159.1597529,1,5,0.0,0.0,0.0,1.0,4159.160369903349,-0.0006170033493617666,e
148,23.0,-,7,4902.7422222,1,6,0.0,0.0,0.0,1.0,4902.741017443956,0.0012047560439896188,e
149,23.0,-,8,5637.3865575,1,7,0.0,0.0,0.0,1.0,5637.38771027109,-0.001152771090346505,e
150,24.0,+,1,329.6172291,1,0,0.0,0.0,0.0,1.0,329.618695976848,-0.0014668768480419203,e
151,24.0,+,2,1119.3376964,1,1,0.0,0.0,0.0,1.0,1119.341196342232,-0.0034999422321106977,e
152,24.0,+,3,1899.5525489,1,2,0.0,0.0,0.0,1.0,1899.554847001168,-0.0022981011679803487,e
153,24.0,+,4,2670.3807747,1,3,0.0,0.0,0.0,1.0,2670.380627267126,0.0001474328742006037,e
154,24.0,+,5,3431.9343385,1,4,0.0,0.0,0.0,1.0,3431.934948822494,-0.0006103224936850893,e
155,24.0,+,6,4184.3319819,1,5,0.0,0.0,0.0,1.0,4184.331592725715,0.0003891742844643886,e
156,24.0,+,7,4927.6823741,1,6,0.0,0.0,0.0,1.0,4927.68324025625,-0.0008661562505949405,e
157,24.0,+,8,5662.1069012,1,7,0.0,0.0,0.0,1.0,5662.102641115816,0.004260084183442814,e
158,25.0,-,1,357.0534536,1,0,0.0,0.0,0.0,1.0,357.052877905557,0.0005756944430004296,e
159,25.0,-,2,1146.5229088,1,1,0.0,0.0,0.0,1.0,1146.527916814265,-0.005008014264831218,e
160,25.0,-,3,1926.4947514,1,2,0.0,0.0,0.0,1.0,1926.49595066056,-0.0011992605600426032,e
161,25.0,-,4,2697.0773555,1,3,0.0,0.0,0.0,1.0,2697.07791204664,-0.0005565466399275465,e
162,25.0,-,5,3458.3905635,1,4,0.0,0.0,0.0,1.0,3458.390184152387,0.0003793476130340423,e
163,25.0,-,6,4210.5456507,1,5,0.0,0.0,0.0,1.0,4210.546536745957,-0.0008860459574862034,e
164,25.0,-,7,4953.6602446,1,6,0.0,0.0,0.0,1.0,4953.659655330474,0.0005892695253351121,e
165,25.0,-,8,5687.8429876,1,7,0.0,0.0,0.0,1.0,5687.842307227919,0.0006803720807511127,e
166,25.0,-,9,6413.2053666,1,8,0.0,0.0,0.0,1.0,6413.208189458373,-0.002822858373292547,e
167,25.0,-,10,7129.8617642,1,9,0.0,0.0,0.0,1.0,7129.872502118234,-0.01073791823364445,e
168,26.0,+,1,385.5788546,1,0,0.0,0.0,0.0,1.0,385.578870003893,-1.540389297360889e-05,e
169,26.0,+,2,1174.7935762,1,1,0.0,0.0,0.0,1.0,1174.796559224207,-0.002983024206969276,e
170,26.0,+,3,1954.5070568,1,2,0.0,0.0,0.0,1.0,1954.509162589036,-0.002105789035795169,e
171,26.0,+,4,2724.8377694,1,3,0.0,0.0,0.0,1.0,2724.837564023705,0.0002053762950708915,e
172,26.0,+,5,3485.8981653,1,4,0.0,0.0,0.0,1.0,3485.898117044892,4.8255108140438097e-05,e
173,26.0,+,6,4237.8050881,1,5,0.0,0.0,0.0,1.0,4237.804579710257,0.000508389743117732,e
174,26.0,+,7,4980.6697979,1,6,0.0,0.0,0.0,1.0,4980.669641980259,0.00015591974079143256,e
175,26.0,+,8,5714.6073731,1,7,0.0,0.0,0.0,1.0,5714.606089584348,0.001283515651266498,e
176,26.0,+,9,6439.7273463,1,8,0.0,0.0,0.0,1.0,6439.727649464405,-0.0003031644046131987,e
177,27.0,-,1,415.1943752,1,0,0.0,0.0,0.0,1.0,415.196018173938,-0.0016429739379759667,e
178,27.0,-,2,1204.1432101,1,1,0.0,0.0,0.0,1.0,1204.146470689742,-0.0032605897420125984,e
179,27.0,-,3,1983.5927471,1,2,0.0,0.0,0.0,1.0,1983.593831208691,-0.001084108690974972,e
180,27.0,-,4,2753.6586651,1,3,0.0,0.0,0.0,1.0,2753.658933003538,-0.000267903538315295,e
181,27.0,-,5,3514.4587493,1,4,0.0,0.0,0.0,1.0,3514.458098765354,0.0006505346459562134,e
182,27.0,-,6,4266.1050384,1,5,0.0,0.0,0.0,1.0,4266.105074425913,-3.60259127774043e-05,e
183,27.0,-,7,5008.7132903,1,6,0.0,0.0,0.0,1.0,5008.71255464472,0.000735655280550418,e
184,27.0,-,8,5742.3948796,1,7,0.0,0.0,0.0,1.0,5742.393344356059,0.0015352439413618413,e
185,28.0,+,1,445.9041894,1,0,0.0,0.0,0.0,1.0,445.903643098306,0.0005463016939870613,e
186,28.0,+,2,1234.5741236,1,1,0.0,0.0,0.0,1.0,1234.576973158124,-0.002849558124125906,e
187,28.0,+,3,2013.7477338,1,2,0.0,0.0,0.0,1.0,2013.749279823317,-0.0015460233169051207,e
188,28.0,+,4,2783.5417601,1,3,0.0,0.0,0.0,1.0,2783.541343727807,0.00041637219283074955,e
189,28.0,+,5,3544.0699523,1,4,0.0,0.0,0.0,1.0,3544.069455573498,0.0004967265017512545,e
190,28.0,+,6,4295.4481978,1,5,0.0,0.0,0.0,1.0,4295.447348755509,0.000849044491587847,e
191,28.0,+,7,5037.7888337,1,6,0.0,0.0,0.0,1.0,5037.787722882839,0.0011108171611340367,e
