J,v,quasibound,grid_index,original_rank,expanded_rank,difference_cm
13,12,False,1,13,13,7.275957614183426e-11
13,13,False,1,14,14,1.0913936421275139e-11
13,14,False,1,15,15,-1.0186340659856796e-10
13,15,False,1,16,16,-5.820766091346741e-11
13,16,False,1,17,17,1.1641532182693481e-10
13,17,False,1,18,18,-7.275957614183426e-12
14,0,False,1,1,1,9.00399754755199e-11
14,1,False,1,2,2,2.3010215954855084e-10
14,2,False,1,3,3,-4.274625098332763e-11
14,3,False,1,4,4,-7.09405867382884e-11
14,4,False,1,5,5,1.2005330063402653e-10
14,5,False,1,6,6,1.3460521586239338e-10
14,6,False,1,7,7,8.003553375601768e-11
14,7,False,1,8,8,-2.6193447411060333e-10
14,8,False,1,9,9,8.731149137020111e-11
14,9,False,1,10,10,-1.5643308870494366e-10
14,10,False,1,11,11,-7.275957614183426e-12
14,11,False,1,12,12,1.418811734765768e-10
14,12,False,1,13,13,1.0913936421275139e-11
14,13,False,1,14,14,2.9103830456733704e-11
14,14,False,1,15,15,-1.6007106751203537e-10
14,15,False,1,16,16,-5.093170329928398e-11
14,16,False,1,17,17,1.382431946694851e-10
14,17,False,1,18,18,1.4551915228366852e-11
15,0,False,1,1,1,-9.185896487906575e-11
15,1,False,1,2,2,2.546585164964199e-11
15,2,False,1,3,3,5.638867150992155e-11
15,3,False,1,4,4,-1.4370016288012266e-10
15,4,False,1,5,5,1.7826096154749393e-10
15,5,False,1,6,6,9.094947017729282e-11
15,6,False,1,7,7,4.001776687800884e-11
15,7,False,1,8,8,-1.5279510989785194e-10
15,8,False,1,9,9,4.729372449219227e-11
15,9,False,1,10,10,-1.4915713109076023e-10
15,10,False,1,11,11,9.822542779147625e-11
15,11,False,1,12,12,8.36735125631094e-11
15,12,False,1,13,13,1.8189894035458565e-11
15,13,False,1,14,14,5.4569682106375694e-11
15,14,False,1,15,15,-1.4551915228366852e-10
15,15,False,1,16,16,-6.548361852765083e-11
15,16,False,1,17,17,-7.275957614183426e-12
15,17,False,1,18,18,-7.275957614183426e-12
16,0,False,1,1,1,6.59383658785373e-11
16,1,False,1,2,2,8.094502845779061e-11
16,2,False,1,3,3,5.4569682106375694e-12
16,3,False,1,4,4,-7.821654435247183e-11
16,4,False,1,5,5,1.4915713109076023e-10
16,5,False,1,6,6,1.382431946694851e-10
16,6,False,1,7,7,6.912159733474255e-11
16,7,False,1,8,8,-1.418811734765768e-10
16,8,False,1,9,9,-2.9103830456733704e-11
16,9,False,1,10,10,-1.2005330063402653e-10
16,10,False,1,11,11,1.3096723705530167e-10
16,11,False,1,12,12,1.9281287677586079e-10
16,12,False,1,13,13,6.912159733474255e-11
16,13,False,1,14,14,5.4569682106375694e-11
16,14,False,1,15,15,-8.731149137020111e-11
16,15,False,1,16,16,-6.548361852765083e-11
16,16,False,1,17,17,0.0
16,17,False,1,18,18,-7.275957614183426e-12
17,0,False,1,1,1,1.0095391189679503e-10
17,1,False,1,2,2,1.1732481652870774e-10
17,2,False,1,3,3,4.9112713895738125e-11
17,3,False,1,4,4,3.092281986027956e-11
17,4,False,1,5,5,1.418811734765768e-10
17,5,False,1,6,6,9.822542779147625e-11
17,6,False,1,7,7,-6.184563972055912e-11
17,7,False,1,8,8,-1.8553691916167736e-10
17,8,False,1,9,9,8.731149137020111e-11
17,9,False,1,10,10,-1.5643308870494366e-10
17,10,False,1,11,11,8.731149137020111e-11
17,11,False,1,12,12,5.4569682106375694e-11
17,12,False,1,13,13,6.912159733474255e-11
17,13,False,1,14,14,2.1827872842550278e-11
17,14,False,1,15,15,-9.458744898438454e-11
17,15,False,1,16,16,-6.548361852765083e-11
17,16,False,1,17,17,5.093170329928398e-11
17,17,False,1,18,18,-5.093170329928398e-11
18,0,False,1,1,1,-9.094947017729282e-13
18,1,False,1,2,2,1.9917933968827128e-10
18,2,False,1,3,3,1.8189894035458565e-12
18,3,False,1,4,4,5.820766091346741e-11
18,4,False,1,5,5,1.000444171950221e-10
18,5,False,1,6,6,9.094947017729282e-11
18,6,False,1,7,7,-7.275957614183426e-12
18,7,False,1,8,8,-2.0736479200422764e-10
18,8,False,1,9,9,4.3655745685100555e-11
18,9,False,1,10,10,-2.219167072325945e-10
18,10,False,1,11,11,7.275957614183426e-11
18,11,False,1,12,12,8.003553375601768e-11
18,12,False,1,13,13,1.0550138540565968e-10
18,13,False,1,14,14,3.637978807091713e-11
18,14,False,1,15,15,-1.3096723705530167e-10
18,15,False,1,16,16,-4.3655745685100555e-11
18,16,False,1,17,17,0.0
18,17,False,1,18,18,-4.452886059880257e-09
19,0,False,1,1,1,-4.8203219193965197e-11
19,1,False,1,2,2,1.3642420526593924e-10
19,2,False,1,3,3,2.546585164964199e-11
19,3,False,1,4,4,-8.003553375601768e-11
19,4,False,1,5,5,1.546140993013978e-10
19,5,False,1,6,6,7.639755494892597e-11
19,6,False,1,7,7,-6.548361852765083e-11
19,7,False,1,8,8,-1.2369127944111824e-10
19,8,False,1,9,9,1.4551915228366852e-11
19,9,False,1,10,10,-8.003553375601768e-11
19,10,False,1,11,11,1.1641532182693481e-10
19,11,False,1,12,12,8.003553375601768e-11
19,12,False,1,13,13,1.0913936421275139e-10
19,13,False,1,14,14,2.9103830456733704e-11
19,14,False,1,15,15,-1.3096723705530167e-10
19,15,False,1,16,16,-7.275957614183426e-12
19,16,False,1,17,17,2.1827872842550278e-11
19,17,True,1,18,18,-2.0976585801690817e-07
20,0,False,1,1,1,4.18367562815547e-11
20,1,False,1,2,2,1.2187229003757238e-10
20,2,False,1,3,3,6.002665031701326e-11
20,3,False,1,4,4,-3.637978807091713e-11
20,4,False,1,5,5,2.0190782379359007e-10
20,5,False,1,6,6,9.094947017729282e-11
20,6,False,1,7,7,-9.458744898438454e-11
20,7,False,1,8,8,-2.9103830456733704e-11
20,8,False,1,9,9,5.4569682106375694e-11
20,9,False,1,10,10,-9.458744898438454e-11
20,10,False,1,11,11,8.731149137020111e-11
20,11,False,1,12,12,4.729372449219227e-11
20,12,False,1,13,13,8.731149137020111e-11
20,13,False,1,14,14,5.820766091346741e-11
20,14,False,1,15,15,-1.1641532182693481e-10
20,15,False,1,16,16,-3.637978807091713e-11
20,16,False,1,17,17,7.275957614183426e-12
20,17,True,1,18,18,-2.3936336219776422e-05
21,0,False,1,1,1,1.191438059322536e-10
21,1,False,1,2,2,1.1550582712516189e-10
21,2,False,1,3,3,1.6370904631912708e-11
21,3,False,1,4,4,-4.3655745685100555e-11
