v,rank,inner_probability,quasibound,barrier_r_angstrom,barrier_absolute_cm,J,observed_cm,calculated_cm,residual_cm,input_weight,python_duo_delta_cm
6,7,1.0,False,5.3571,37188.50934294597,2,15818.667686,15818.61801781043,0.049668189571093535,21.82178902359924,-1.9099388737231493e-10
7,8,1.0000000000000004,False,5.3571,37188.50934294597,2,18083.845521,18083.80980589635,0.03571510364781716,20.41241452319315,-1.3460521586239338e-10
8,9,1.0000000000000002,False,5.3571,37188.50934294597,2,20244.217262,20244.18768758525,0.02957441474791267,19.245008972987527,-1.7462298274040222e-10
9,10,0.9999999999999998,False,5.3571,37188.50934294597,2,22297.873848,22297.848280173348,0.025567826651240466,18.257418583505537,-6.548361852765083e-11
10,11,1.0000000000000002,False,5.3571,37188.50934294597,2,24242.0298,24242.069912422856,-0.040112422855600016,17.407765595569785,-2.4374458007514477e-10
11,12,1.0000000000000002,False,5.3571,37188.50934294597,2,26073.037492,26073.13171501808,-0.09422301808081102,16.666666666666668,-1.1641532182693481e-10
12,13,1.0000000000000002,False,5.3571,37188.50934294597,2,27785.9837,27786.0886168454,-0.10491684540102142,16.012815380508716,-5.4569682106375694e-11
13,14,1.0,False,5.3571,37188.50934294597,2,29374.402043,29374.471982557672,-0.06993955767393345,15.430334996209192,-2.837623469531536e-10
14,15,1.0000000000000002,False,5.3571,37188.50934294597,2,30829.869637,30829.86134117689,0.008295823110529454,14.907119849998598,-8.731149137020111e-11
15,16,1.0000000000000002,False,5.3571,37188.50934294597,2,32141.293571,32141.22731197488,0.06625902511950699,14.433756729740645,-2.546585164964199e-11
16,17,0.9999999999999998,False,5.3571,37188.50934294597,2,33293.96345,33293.85000500708,0.11344499292317778,14.002800840280099,-6.548361852765083e-11
17,18,1.0000000000000002,False,5.3571,37188.50934294597,2,34267.552666,34267.388987217,0.16367878300661687,13.608276348795435,-5.093170329928398e-11
0,1,0.9999999999999999,False,5.0275,37192.373541662964,3,125.2063,125.206536341361,-0.00023634136100270098,50.0,1.226396761921933e-11
1,2,0.9999999999999994,False,5.0275,37192.373541662964,3,3007.5356,3007.553257722628,-0.01765772262797327,35.35533905932737,-6.320988177321851e-11
2,3,1.0,False,5.0275,37192.373541662964,3,5785.923935,5785.909882468884,0.014052531116249156,28.86751345948129,1.4733814168721437e-10
3,4,1.0,False,5.0275,37192.373541662964,3,8461.120965,8461.097854432297,0.02311056770304276,25.0,-1.4733814168721437e-10
4,5,1.0,False,5.0275,37192.373541662964,3,11033.586042,11033.567665432482,0.018376567519226228,22.360679774997894,-3.6561687011271715e-10
5,6,0.9999999999999998,False,5.0275,37192.373541662964,3,13503.446935,13503.422133841113,0.024801158886475605,20.412414523193153,-2.473825588822365e-10
6,7,1.0,False,5.0275,37192.373541662964,3,15870.439542,15870.392659929996,0.046882070004357956,18.89822365046136,-1.3642420526593924e-10
7,8,1.0,False,5.0275,37192.373541662964,3,18133.805291,18133.772238569818,0.033052430182578973,17.677669529663685,-1.4915713109076023e-10
8,9,1.0,False,5.0275,37192.373541662964,3,20292.341827,20292.313813973302,0.028013026698317844,16.666666666666668,6.548361852765083e-11
9,10,1.0000000000000002,False,5.0275,37192.373541662964,3,22344.126142,22344.10164502594,0.024496974059729837,15.811388300841896,2.9103830456733704e-11
10,11,0.9999999999999999,False,5.0275,37192.373541662964,3,24286.358033,24286.398491969972,-0.040458969971950864,15.07556722888818,-1.964508555829525e-10
11,12,1.0000000000000007,False,5.0275,37192.373541662964,3,26115.370698,26115.4636942773,-0.09299627730069915,14.433756729740645,-9.094947017729282e-11
12,13,0.9999999999999997,False,5.0275,37192.373541662964,3,27826.22415,27826.326601904148,-0.10245190414934768,13.867504905630728,-4.729372449219227e-11
13,14,0.9999999999999996,False,5.0275,37192.373541662964,3,29412.418092,29412.484638917776,-0.06654691777657717,13.363062095621219,7.275957614183426e-11
14,15,0.9999999999999999,False,5.0275,37192.373541662964,3,30865.481733,30865.470553548505,0.011179451495991088,12.909944487358056,-1.8553691916167736e-10
15,16,1.0,False,5.0275,37192.373541662964,3,32174.253767,32174.187027541826,0.06673945817237836,12.5,4.001776687800884e-11
16,17,0.9999999999999997,False,5.0275,37192.373541662964,3,33323.918379,33323.808239182035,0.11013981796713779,12.126781251816649,4.3655745685100555e-11
17,18,0.9999999999999998,False,5.0275,37192.373541662964,3,34293.963432,34293.811253209504,0.15217879049305338,11.785113019775793,-6.548361852765083e-11
0,1,0.9999999999999997,False,4.8111999999999995,37198.083264508714,4,208.5929,208.593137756855,-0.00023775685500027066,44.72135954999579,-9.50137746258406e-11
1,2,1.0000000000000004,False,4.8111999999999995,37198.083264508714,4,3088.491613,3088.510105439288,-0.01849243928791111,31.622776601683785,1.8189894035458565e-10
2,3,1.0000000000000007,False,4.8111999999999995,37198.083264508714,4,5864.468824,5864.456838213003,0.01198578699677455,25.819888974716115,4.547473508864641e-11
3,4,0.9999999999999999,False,4.8111999999999995,37198.083264508714,4,8537.268744,8537.248793146911,0.019950853089540033,22.360679774997894,1.800799509510398e-10
4,5,1.0,False,4.8111999999999995,37198.083264508714,4,11107.344682,11107.329976330557,0.014705669444083469,19.999999999999996,-3.383320290595293e-10
5,6,0.9999999999999999,False,4.8111999999999995,37198.083264508714,4,13574.817044,13574.79589521391,0.02114878608881554,18.257418583505537,-2.582964953035116e-10
6,7,1.0,False,4.8111999999999995,37198.083264508714,4,15939.412534,15939.369291615869,0.0432423841302807,16.90308509457033,-1.8735590856522322e-10
7,8,1.0000000000000002,False,4.8111999999999995,37198.083264508714,4,18200.362137,18200.332554747107,0.02958225289330585,15.811388300841893,0.0
