r_angstrom,potential_cm
5.09425,37184.40253578984
5.1,37184.41799923612
5.10575,37184.43321630243
5.1114999999999995,37184.448191376374
5.11725,37184.462928760884
5.123,37184.477432675936
5.12875,37184.491707260226
5.1345,37184.505756572886
5.14025,37184.51958459502
5.146,37184.53319523142
5.15175,37184.546592312
5.1575,37184.559779593386
5.16325,37184.572760760406
5.169,37184.58553942751
5.1747499999999995,37184.59811914027
5.1805,37184.61050337666
5.18625,37184.622695548554
5.192,37184.63469900301
5.19775,37184.646517023524
5.2035,37184.65815283143
5.20925,37184.66960958705
5.215,37184.680890390984
5.22075,37184.69199828529
5.2265,37184.702936254704
5.23225,37184.713707227675
5.2379999999999995,37184.72431407765
5.24375,37184.73475962409
5.2495,37184.74504663352
5.25525,37184.755177820705
5.261,37184.76515584957
5.26675,37184.77498333428
5.2725,37184.78466284018
5.27825,37184.79419688487
5.284,37184.803587939015
5.28975,37184.812838427395
5.2955,37184.82195072977
5.30125,37184.83092718178
5.3069999999999995,37184.83977007581
5.31275,37184.84848166185
5.3185,37184.85706414835
5.32425,37184.86551970306
5.33,37184.87385045375
5.33575,37184.88205848909
5.3415,37184.890145859375
5.34725,37184.898114577285
5.353,37184.905966618644
5.35875,37184.913703923114
5.3645,37184.92132839494
5.3702499999999995,37184.9288419036
5.376,37184.93624628454
5.38175,37184.943543339774
5.3875,37184.9507348386
5.39325,37184.957822518205
5.399,37184.9648080843
5.40475,37184.97169321172
5.4105,37184.97847954505
5.41625,37184.98516869917
5.422,37184.99176225989
5.42775,37184.99826178447
5.4334999999999996,37185.00466880217
5.4392499999999995,37185.01098481484
5.445,37185.01721129739
5.45075,37185.02334969832
5.4565,37185.0294014403
5.46225,37185.035367920544
5.468,37185.04125051142
5.47375,37185.047050560854
5.4795,37185.05276939281
5.48525,37185.05840830776
5.491,37185.06396858317
5.49675,37185.06945147383
5.5024999999999995,37185.07485821242
5.50825,37185.080190009845
5.514,37185.08544805568
5.51975,37185.09063351854
5.5255,37185.095747546584
5.53125,37185.100791267745
5.537,37185.10576579023
5.54275,37185.11067220287
5.5485,37185.11551157547
5.55425,37185.12028495916
5.56,37185.124993386766
5.5657499999999995,37185.12963787317
5.5715,37185.1342194156
5.57725,37185.13873899402
5.583,37185.14319757139
5.58875,37185.147596094044
5.5945,37185.15193549197
5.60025,37185.15621667911
5.606,37185.16044055369
5.61175,37185.16460799848
5.6175,37185.16871988109
5.62325,37185.172777054286
5.629,37185.17678035622
5.6347499999999995,37185.180730610715
5.6405,37185.18462862755
5.64625,37185.1884752027
5.652,37185.19227111859
5.65775,37185.19601714436
5.6635,37185.19971403609
5.66925,37185.203362537075
5.675,37185.20696337801
5.68075,37185.210517277286
5.6865,37185.21402494114
5.69225,37185.21748706394
5.6979999999999995,37185.22090432837
5.70375,37185.22427740567
5.7095,37185.22760695581
5.71525,37185.230893627704
5.721,37185.234138059444
5.72675,37185.23734087848
5.7325,37185.240502701774
5.73825,37185.243624136056
5.744,37185.24670577795
5.74975,37185.24974821419
5.7555,37185.25275202182
5.7612499999999995,37185.2557177683
5.767,37185.25864601175
5.77275,37185.26153730107
5.7785,37185.26439217614
5.78425,37185.26721116794
5.79,37185.26999479878
5.79575,37185.27274358235
5.8015,37185.275458023985
5.80725,37185.27813862075
5.813,37185.28078586158
5.81875,37185.28340022748
5.8245,37185.285982191606
5.8302499999999995,37185.288532219456
5.836,37185.29105076895
5.84175,37185.293538290614
5.8475,37185.2959952277
5.85325,37185.298422016276
5.859,37185.30081908541
5.86475,37185.303186857265
5.8705,37185.30552574721
5.87625,37185.307836163935
5.882,37185.31011850964
5.88775,37185.312373180044
5.8934999999999995,37185.31460056457
5.89925,37185.31680104641
5.905,37185.31897500269
5.91075,37185.321122804504
5.9165,37185.3232448171
5.92225,37185.3253413999
5.928,37185.32741290668
5.93375,37185.32945968558
5.9395,37185.331482079295
5.94525,37185.3334804251
5.951,37185.33545505496
5.9567499999999995,37185.337406295665
5.9624999999999995,37185.33933446884
5.96825,37185.341239891095
5.974,37185.3431228741
5.97975,37185.344983724666
5.9855,37185.34682274481
5.99125,37185.34864023186
5.997,37185.35043647852
6.00275,37185.352211772966
6.0085,37185.353966398914
6.01425,37185.355700635686
6.02,37185.35741475829
6.0257499999999995,37185.35910903753
6.0315,37185.36078373998
6.03725,37185.3624391282
6.043,37185.36407546066
6.04875,37185.3656929919
6.0545,37185.367291972565
6.06025,37185.368872649466
6.066,37185.370435265664
6.07175,37185.37198006052
6.0775,37185.37350726975
6.08325,37185.37501712551
6.0889999999999995,37185.37650985642
6.09475,37185.37798568764
6.1005,37185.37944484098
6.10625,37185.38088753484
6.112,37185.38231398437
6.11775,37185.38372440149
6.1235,37185.38511899492
6.12925,37185.386497970256
6.135,37185.38786153004
6.14075,37185.38920987377
6.1465,37185.39054319799
6.1522499999999996,37185.39186169627
6.1579999999999995,37185.39316555936
6.16375,37185.394454975154
6.1695,37185.39573012876
6.17525,37185.39699120255
6.181,37185.3982383762
6.18675,37185.39947182674
6.1925,37185.400691728595
6.19825,37185.40189825362
6.204,37185.403091571156
6.20975,37185.404271848034
6.2155,37185.4054392487
6.2212499999999995,37185.40659393514
6.227,37185.407736067005
6.23275,37185.40886580162
6.2385,37185.40998329401
6.24425,37185.41108869696
6.25,37185.41218216104
6.25575,37185.41326383463
6.2615,37185.41433386399
6.26725,37185.41539239323
6.273,37185.416439564426
6.27875,37185.417475517585
6.2844999999999995,37185.4185003907
6.29025,37185.41951431981
6.296,37185.42051743897
6.30175,37185.42150988037
6.3075,37185.42249177425
6.31325,37185.42346324904
6.319,37185.42442443134
6.32475,37185.42537544592
6.3305,37185.42631641581
6.33625,37185.42724746229
