r_angstrom,bob_dimensionless
1.7994999999999999,0.00011107089743059165
1.80525,0.00011649662066183439
1.811,0.00012187836636627903
1.81675,0.00012720071515460714
1.8225,0.00013244852198652732
1.82825,0.0001376069791998907
1.834,0.0001426616764275601
1.83975,0.00014759865716638192
1.8455,0.00015240447179091225
1.85125,0.00015706622683291349
1.857,0.0001615716303759509
1.86275,0.00016590903344244318
1.8685,0.0001700674672781157
1.87425,0.00017403667646580896
1.88,0.00017780714782687722
1.88575,0.00018137013509381326
1.8915,0.00018471767936215815
1.8972499999999999,0.000187842625353099
1.903,0.00019073863354030055
1.90875,0.00019340018821539727
1.9144999999999999,0.00019582260158613565
1.92025,0.00019800201401928903
1.926,0.00019993539055720644
1.93175,0.00020162051385209164
1.9375,0.00020305597367585007
1.94325,0.000204241153175601
1.949,0.00020517621205566613
1.95475,0.0002058620668760857
1.9605,0.00020630036866544737
1.96625,0.0002064934780521028
1.972,0.00020644443812268032
1.97775,0.00020615694522028912
1.9835,0.0002056353178969007
1.98925,0.0002048844642352441
1.9949999999999999,0.00020390984775512446
2.00075,0.00020271745211750862
2.0065,0.0002013137448370333
2.01225,0.00019970564020986914
2.018,0.0001979004616591836
2.0237499999999997,0.0001959059036948778
2.0295,0.00019372999367787294
2.03525,0.00019138105357210095
2.041,0.0001888676618595458
2.0467500000000003,0.0001861986157853362
2.0525,0.0001833828940909738
2.05825,0.0001804296203844957
2.064,0.00017734802728667715
2.06975,0.00017414742148244453
2.0755,0.00017083714979646786
2.08125,0.0001674265664016167
2.0869999999999997,0.00016392500125853677
2.0927499999999997,0.00016034172987419482
2.0985,0.00015668594445686457
2.10425,0.00015296672653473356
2.11,0.0001491930210951717
2.1157500000000002,0.00014537361229177877
2.1215,0.00014151710075660916
2.12725,0.00013763188254556583
2.133,0.00013372612973585802
2.13875,0.00012980777268567015
2.1445,0.00012588448395782983
2.1502499999999998,0.00012196366390130512
2.1559999999999997,0.00011805242787685049
2.16175,0.0001141575951060237
2.1675,0.00011028567911621292
2.17325,0.00010644287974815179
2.1790000000000003,0.00010263507668676658
2.18475,9.886782447102044e-05
2.1905,9.514634893374962e-05
2.19625,9.147554501829936e-05
2.202,8.785997591506111e-05
2.20775,8.430387345778839e-05
2.2135,8.081113971681274e-05
2.2192499999999997,7.738534972398754e-05
2.2249999999999996,7.402975526233064e-05
2.23075,7.074728965191982e-05
2.2365,6.754057346259472e-05
2.2422500000000003,6.4411921083401e-05
2.248,6.136334807849555e-05
2.25375,5.839657925935156e-05
2.2595,5.55130574035777e-05
2.26525,5.271395255144657e-05
2.271,5.0000171812303956e-05
2.27675,4.737236961439026e-05
2.2824999999999998,4.483095833319694e-05
2.2882499999999997,4.2376119235313973e-05
2.294,4.000781367675755e-05
2.29975,3.772579449697966e-05
2.3055,3.552961755213472e-05
2.3112500000000002,3.341865333369932e-05
